radius_mean,perimeter_mean,"diagnosis(1=m, 0=b)",area_mean,radius_worst,perimeter_worst,area_worst,concavity_mean,concave points_mean,compactness_mean,concavity_worst,concave points_worst,compactness_worst
17.99,122.8,1,1001.0,25.38,184.6,2019.0,0.3001,0.1471,0.2776,0.7119,0.2654,0.6656
20.57,132.9,1,1326.0,24.99,158.8,1956.0,0.0869,0.07017,0.07864,0.2416,0.186,0.1866
19.69,130.0,1,1203.0,23.57,152.5,1709.0,0.1974,0.1279,0.1599,0.4504,0.243,0.4245
11.42,77.58,1,386.1,14.91,98.87,567.7,0.2414,0.1052,0.2839,0.6869,0.2575,0.8663
20.29,135.1,1,1297.0,22.54,152.2,1575.0,0.198,0.1043,0.1328,0.4,0.1625,0.205
12.45,82.57,1,477.1,15.47,103.4,741.6,0.1578,0.08089,0.17,0.5355,0.1741,0.5249
18.25,119.6,1,1040.0,22.88,153.2,1606.0,0.1127,0.074,0.109,0.3784,0.1932,0.2576
13.71,90.2,1,577.9,17.06,110.6,897.0,0.09366,0.05985,0.1645,0.2678,0.1556,0.3682
13.0,87.5,1,519.8,15.49,106.2,739.3,0.1859,0.09353,0.1932,0.539,0.206,0.5401
12.46,83.97,1,475.9,15.09,97.65,711.4,0.2273,0.08543,0.2396,1.105,0.221,1.058
16.02,102.7,1,797.8,19.19,123.8,1150.0,0.03299,0.03323,0.06669,0.1459,0.09975,0.1551
15.78,103.6,1,781.0,20.42,136.5,1299.0,0.09954,0.06606,0.1292,0.3965,0.181,0.5609
19.17,132.4,1,1123.0,20.96,151.7,1332.0,0.2065,0.1118,0.2458,0.3639,0.1767,0.3903
15.85,103.7,1,782.7,16.84,112.0,876.5,0.09938,0.05364,0.1002,0.2322,0.1119,0.1924
13.73,93.6,1,578.3,15.03,108.8,697.7,0.2128,0.08025,0.2293,0.6943,0.2208,0.7725
14.54,96.73,1,658.8,17.46,124.1,943.2,0.1639,0.07364,0.1595,0.7026,0.1712,0.6577
14.68,94.74,1,684.5,19.07,123.4,1138.0,0.07395,0.05259,0.072,0.2914,0.1609,0.1871
16.13,108.1,1,798.8,20.96,136.8,1315.0,0.1722,0.1028,0.2022,0.4784,0.2073,0.4233
19.81,130.0,1,1260.0,27.32,186.8,2398.0,0.1479,0.09498,0.1027,0.5372,0.2388,0.315
13.54,87.46,0,566.3,15.11,99.7,711.2,0.06664,0.04781,0.08129,0.239,0.1288,0.1773
13.08,85.63,0,520.0,14.5,96.09,630.5,0.04568,0.0311,0.127,0.189,0.07283,0.2776
9.504,60.34,0,273.9,10.23,65.13,314.9,0.02956,0.02076,0.06492,0.08867,0.06227,0.1148
15.34,102.5,1,704.4,18.07,125.1,980.9,0.2077,0.09756,0.2135,0.6305,0.2393,0.5954
21.16,137.2,1,1404.0,29.17,188.0,2615.0,0.1097,0.08632,0.1022,0.3155,0.2009,0.26
16.65,110.0,1,904.6,26.46,177.0,2215.0,0.1525,0.0917,0.1457,0.4695,0.2095,0.3578
